idx,x,y,z
0,0.2629105,-0.5835399,2.724276
1,0.2689164,-0.5895138,2.7280374
2,0.063308395,-0.6264826,2.5666008
3,0.27122283,-0.5948466,2.7299128
4,0.062102973,-0.6193183,2.5690744
5,0.27006012,-0.5949406,2.731506
6,0.062050458,-0.6244996,2.5724597
7,0.063791744,-0.6271689,2.5767741
8,0.06323147,-0.6350721,2.5771298
9,0.25898293,-0.5981993,2.7277641
10,0.061949663,-0.63157356,2.5763168
11,0.26189825,-0.60421354,2.730861
12,0.06261001,-0.6283296,2.5769486
13,0.26010442,-0.60481244,2.7312667
14,0.064203404,-0.63195,2.576664
15,0.26293996,-0.6057276,2.730373
16,0.06435073,-0.63444614,2.5760689
17,0.26363194,-0.6039484,2.7289767
18,0.06253411,-0.6353315,2.5732813
19,0.2636067,-0.60546994,2.7306046
20,0.06101729,-0.63684356,2.567823
21,0.2654846,-0.6026912,2.7308216
22,0.061678775,-0.63706774,2.568178
23,0.26753956,-0.605228,2.7300944
24,0.06306566,-0.63811976,2.5662248
25,0.2708369,-0.6099124,2.728889
26,0.06358617,-0.63426983,2.5667746
27,0.27549645,-0.6094624,2.729714
28,0.2756936,-0.6043134,2.7295415
29,0.6412364,-0.75184417,2.0099814
30,0.63892055,-0.7492152,2.014713
31,0.6382919,-0.7474275,2.0153804
32,0.801574,-0.7156909,2.1644857
33,0.63695633,-0.7451812,2.0150096
34,0.80297613,-0.71747684,2.163774
35,0.6356394,-0.7448037,2.0164523
36,0.8054629,-0.71789813,2.1592252
37,0.6345098,-0.7449938,2.0178165
38,0.8072947,-0.72023386,2.158288
39,0.63341624,-0.7467344,2.0183678
40,0.80376387,-0.7219125,2.1543827
41,0.63265276,-0.74724424,2.0190268
42,0.8002304,-0.72155344,2.1535358
43,0.63262314,-0.7476318,2.018961
44,0.80297816,-0.71928966,2.154971
45,0.6326489,-0.74866474,2.0178654
46,0.80501384,-0.7202779,2.1567848
47,0.6325985,-0.74551296,2.0190308
48,0.8035597,-0.7207854,2.156049
49,0.6333562,-0.7444545,2.019782
50,0.79340506,-0.7218299,2.1516564
51,0.63412845,-0.7457811,2.0185876
52,0.7915267,-0.7226235,2.1514423
53,0.6353958,-0.74562585,2.0152047
54,0.79520077,-0.72361,2.1501646
55,0.63654405,-0.7423574,2.0116804
56,0.80047095,-0.7259636,2.1510558
57,0.7921289,-0.7310246,2.1675608
58,0.78943247,-0.7271053,2.1712103
59,0.78496444,-0.7284055,2.1733685
60,0.06626897,-0.52812326,3.2299569
61,-0.31192416,-0.5342762,3.2227635
62,-0.312585,-0.5382049,3.2372928
63,-0.31411555,-0.53355205,3.2307644
64,-0.31700796,-0.5386272,3.230349
65,-0.31725818,-0.5359646,3.2284045
66,-0.22533783,-0.49664444,3.4670653
67,-0.22766058,-0.49502328,3.4677029
68,-0.22238119,-0.49493217,3.4702246
69,-0.35047734,-0.5132611,3.3353283
70,-0.34956285,-0.51331943,3.3326383
71,-0.20610979,-0.48914367,3.4733222
72,-0.34882453,-0.5122245,3.3327096
73,-0.20847319,-0.48916048,3.4739227
74,-0.34896475,-0.5110604,3.3347535
75,-0.20685127,-0.4878068,3.4700089
76,-0.34925705,-0.51061314,3.3349626
77,-0.20799313,-0.48657143,3.4673834
