idx,x,y,z
150,0.85338986,-0.9058243,3.4093816
151,0.5793917,-0.86341,3.0210385
152,0.85294765,-0.9058217,3.4089499
153,0.5780915,-0.8637456,3.0219514
154,0.85238606,-0.905029,3.4086785
155,0.5769187,-0.86538064,3.0216157
156,0.85303783,-0.9043739,3.4078102
157,0.57628554,-0.8694365,3.0205336
158,0.85288846,-0.90516686,3.4082355
159,0.5771837,-0.86548996,3.021164
160,0.8527885,-0.9051294,3.4078212
161,0.5779553,-0.86298525,3.0214353
162,0.85302436,-0.9056649,3.4077306
163,0.5787356,-0.8612845,3.0213847
164,0.8531171,-0.9060375,3.4077947
165,0.57882965,-0.86177075,3.020876
166,0.85309136,-0.906653,3.4078877
167,0.57892853,-0.8625747,3.0208228
168,0.8530442,-0.9076719,3.408368
169,0.5791572,-0.86184293,3.0219421
170,0.8526299,-0.9080948,3.4090052
171,0.57853305,-0.860806,3.0217638
172,0.85194284,-0.9085884,3.4091017
173,0.48455644,-0.7718819,2.0072517
174,0.84976363,-0.6951169,1.7204001
175,0.48500964,-0.7736386,2.0063443
176,0.85098827,-0.6956568,1.7180688
177,0.48516145,-0.77484477,2.0057292
178,0.8522893,-0.69776845,1.7164385
179,0.48560542,-0.77661157,2.0056038
180,0.85244524,-0.6975961,1.7161969
181,0.48604304,-0.7776624,2.0052028
182,0.85271925,-0.69758356,1.7160792
183,0.48598376,-0.7773886,2.0052545
184,0.8527721,-0.6979332,1.716079
185,0.4848895,-0.7772606,2.005917
186,0.851553,-0.69744235,1.7166765
187,0.4841622,-0.78036934,2.0065942
188,0.8510911,-0.69787574,1.716894
189,0.4841245,-0.78158593,2.0065796
190,0.85089636,-0.6977462,1.7170042
191,0.48482382,-0.7805359,2.006165
192,0.8517546,-0.6978821,1.7165735
193,0.4847147,-0.77950644,2.0062704
194,0.8518559,-0.6983974,1.7165974
195,0.48513934,-0.7796351,2.00582
196,0.8519187,-0.6984269,1.7164832
197,0.48500246,-0.7795175,2.0055459
198,0.851695,-0.69815063,1.7167352
199,0.48592234,-0.7789746,2.0047865
200,0.8529917,-0.6976361,1.7161655
201,0.4869251,-0.7790931,2.0042088
202,0.8542721,-0.69763225,1.7156322
203,0.48716366,-0.77837247,2.0040634
204,0.8543229,-0.69725347,1.7155793
205,-0.956058,-1.0103238,2.9468985
206,-0.95675504,-1.0109749,2.9466445
207,-0.9572824,-1.0089164,2.947123
208,-0.9569777,-1.0081137,2.9468796
209,-0.9570556,-1.0086095,2.9467363
210,-0.9581569,-1.0078571,2.9473236
211,-0.9582955,-1.0082989,2.9471986
